prev_caption,curr_caption,human_transition,input_text
a man sitting on a rock with a cigarette in his mouth,a woman in a blue dress standing in a field,,"Caption 1: a man sitting on a rock with a cigarette in his mouth
Caption 2: a woman in a blue dress standing in a field
What's the transition?"
a man is walking down the road in the woods,a video screen with a bird in the background,,"Caption 1: a man is walking down the road in the woods
Caption 2: a video screen with a bird in the background
What's the transition?"
a woman is sleeping on a couch in a living room,a man with glasses on,,"Caption 1: a woman is sleeping on a couch in a living room
Caption 2: a man with glasses on
What's the transition?"
a man with a beard,a woman is sitting on a couch with her head down,,"Caption 1: a man with a beard
Caption 2: a woman is sitting on a couch with her head down
What's the transition?"
a woman is sitting on a couch with her head down,a dog is sitting on a couch with a remote control,,"Caption 1: a woman is sitting on a couch with her head down
Caption 2: a dog is sitting on a couch with a remote control
What's the transition?"
a dog is sitting on a couch with a remote control,a man is sleeping on a couch in a room,,"Caption 1: a dog is sitting on a couch with a remote control
Caption 2: a man is sleeping on a couch in a room
What's the transition?"
a swimming pool with people in it,a pool with water sping out of it,,"Caption 1: a swimming pool with people in it
Caption 2: a pool with water sping out of it
What's the transition?"
a pool with water sping out of it,a swimming pool with a ladder and ladder,,"Caption 1: a pool with water sping out of it
Caption 2: a swimming pool with a ladder and ladder
What's the transition?"
a dog is running in the sand,a dog is walking in the snow,,"Caption 1: a dog is running in the sand
Caption 2: a dog is walking in the snow
What's the transition?"
a dog is walking in the snow,a cat is walking on the ground,,"Caption 1: a dog is walking in the snow
Caption 2: a cat is walking on the ground
What's the transition?"
a boat with people on it in the water,a man in a black shirt and sunglasses,,"Caption 1: a boat with people on it in the water
Caption 2: a man in a black shirt and sunglasses
What's the transition?"
a man is playing with a basketball ball,a man is playing with a ball on a deck,,"Caption 1: a man is playing with a basketball ball
Caption 2: a man is playing with a ball on a deck
What's the transition?"
a man is playing with a ball on a deck,a man is standing on a yoga mat,,"Caption 1: a man is playing with a ball on a deck
Caption 2: a man is standing on a yoga mat
What's the transition?"
a woman is doing yoga on a mat,a dog is playing with a basketball ball,,"Caption 1: a woman is doing yoga on a mat
Caption 2: a dog is playing with a basketball ball
What's the transition?"
a woman in a yellow dress is sitting on a hill,a woman in a yellow dress is talking on a cell,,"Caption 1: a woman in a yellow dress is sitting on a hill
Caption 2: a woman in a yellow dress is talking on a cell
What's the transition?"
a woman in a yellow dress is talking on a cell,a girl in an orange dress is reading a book,,"Caption 1: a woman in a yellow dress is talking on a cell
Caption 2: a girl in an orange dress is reading a book
What's the transition?"
a girl in a yellow dress is reading a book,a girl in a yellow dress holding a paper,,"Caption 1: a girl in a yellow dress is reading a book
Caption 2: a girl in a yellow dress holding a paper
What's the transition?"
a girl in a yellow dress holding a paper,a woman in a yellow dress is crying,,"Caption 1: a girl in a yellow dress holding a paper
Caption 2: a woman in a yellow dress is crying
What's the transition?"
a boy in a red shirt,a man in a red shirt,,"Caption 1: a boy in a red shirt
Caption 2: a man in a red shirt
What's the transition?"
a boy cutting up a piece of fruit on a cutting board,a boy in a red shirt,,"Caption 1: a boy cutting up a piece of fruit on a cutting board
Caption 2: a boy in a red shirt
What's the transition?"
a man is standing in front of a computer,a small blue object is on the floor,,"Caption 1: a man is standing in front of a computer
Caption 2: a small blue object is on the floor
What's the transition?"
a computer screen with a keyboard and keyboard keys,a computer screen with a bunch of folders on it,,"Caption 1: a computer screen with a keyboard and keyboard keys
Caption 2: a computer screen with a bunch of folders on it
What's the transition?"
a man is falling off a surfboard,a man is riding a wave on a surfboard,,"Caption 1: a man is falling off a surfboard
Caption 2: a man is riding a wave on a surfboard
What's the transition?"
a man riding a skateboard down a hill,a man is jumping off a building,,"Caption 1: a man riding a skateboard down a hill
Caption 2: a man is jumping off a building
What's the transition?"
a man is jumping off a building,a man is riding a skateboard in a room,,"Caption 1: a man is jumping off a building
Caption 2: a man is riding a skateboard in a room
What's the transition?"
a man is riding a skateboard in a room,a skateboarder is doing tricks on a ramp,,"Caption 1: a man is riding a skateboard in a room
Caption 2: a skateboarder is doing tricks on a ramp
What's the transition?"
a man is sitting on the ground drinking from a cup,a man sitting on a wall,,"Caption 1: a man is sitting on the ground drinking from a cup
Caption 2: a man sitting on a wall
What's the transition?"
a man sitting on a wall,a man squats on a cement block,,"Caption 1: a man sitting on a wall
Caption 2: a man squats on a cement block
What's the transition?"
a man is playing a video game on a television,a man is playing with a dog in the living room,,"Caption 1: a man is playing a video game on a television
Caption 2: a man is playing with a dog in the living room
What's the transition?"
a man is playing with a dog in the living room,a man in a white shirt,,"Caption 1: a man is playing with a dog in the living room
Caption 2: a man in a white shirt
What's the transition?"
a man in a white shirt,a man in a living room with a bike,,"Caption 1: a man in a white shirt
Caption 2: a man in a living room with a bike
What's the transition?"
a man in a living room with a bike,a man standing in a living room with a television,,"Caption 1: a man in a living room with a bike
Caption 2: a man standing in a living room with a television
What's the transition?"
a man standing in a living room with a television,a man holding a baseball bat in his hand,,"Caption 1: a man standing in a living room with a television
Caption 2: a man holding a baseball bat in his hand
What's the transition?"
a man holding a baseball bat in his hand,a man is throwing a ball in the yard,,"Caption 1: a man holding a baseball bat in his hand
Caption 2: a man is throwing a ball in the yard
What's the transition?"
a boy swinging a tennis racket,a man is playing with a frc,,"Caption 1: a boy swinging a tennis racket
Caption 2: a man is playing with a frc
What's the transition?"
a man is playing with a frc,a man is playing tennis on the sidewalk,,"Caption 1: a man is playing with a frc
Caption 2: a man is playing tennis on the sidewalk
What's the transition?"
a man is playing tennis on the sidewalk,a white truck is parked in a parking lot,,"Caption 1: a man is playing tennis on the sidewalk
Caption 2: a white truck is parked in a parking lot
What's the transition?"
a white truck is parked in a parking lot,a man riding a skateboard down a street,,"Caption 1: a white truck is parked in a parking lot
Caption 2: a man riding a skateboard down a street
What's the transition?"
a woman is standing in a living room,a woman is holding a paper in her hands,,"Caption 1: a woman is standing in a living room
Caption 2: a woman is holding a paper in her hands
What's the transition?"
