prev_caption,curr_caption,human_transition,input_text,generated_transition
a cat is in a cage with its mouth open,a cat is laying in a cage,,"Caption 1: a cat is in a cage with its mouth open
Caption 2: a cat is laying in a cage
What's the transition?",The cat lays down.
a man in a black shirt and red pants is dancing on a stage,a man in a suit and tie is dancing on stage,,"Caption 1: a man in a black shirt and red pants is dancing on a stage
Caption 2: a man in a suit and tie is dancing on stage
What's the transition?",He is wearing a suit and tie.
a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,a woman standing on a stage with a microphone,,"Caption 1: a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
Caption 2: a woman standing on a stage with a microphone
What's the transition?",The woman stands on stage with a microphone.
a woman standing on a stage with a microphone,a man in a suit is playing a violin,,"Caption 1: a woman standing on a stage with a microphone
Caption 2: a man in a suit is playing a violin
What's the transition?",The woman is playing a violin.
a man in a suit is playing a violin,a man in a suit and tie is standing on a stage,,"Caption 1: a man in a suit is playing a violin
Caption 2: a man in a suit and tie is standing on a stage
What's the transition?",The man stands on stage.
a horse is jumping over a fence in a field,a horse is running through a fence,,"Caption 1: a horse is jumping over a fence in a field
Caption 2: a horse is running through a fence
What's the transition?",The horse begins to run.
a horse is jumping over an obstacle,a horse is standing in the dirt,,"Caption 1: a horse is jumping over an obstacle
Caption 2: a horse is standing in the dirt
What's the transition?",The horse stands in the dirt.
a horse is in the middle of a field,a horse is in the dirt with people watching,,"Caption 1: a horse is in the middle of a field
Caption 2: a horse is in the dirt with people watching
What's the transition?",Horses are in the dirt.
a man is performing on a stage with a microphone,a man is dancing on a stage with a light,,"Caption 1: a man is performing on a stage with a microphone
Caption 2: a man is dancing on a stage with a light
What's the transition?",The man continues to dance.
a group of people dancing in a nightclub,a group of people standing around a bar,,"Caption 1: a group of people dancing in a nightclub
Caption 2: a group of people standing around a bar
What's the transition?",They continue to dance.
a group of people standing around a bar,a group of people walking down a street at night,,"Caption 1: a group of people standing around a bar
Caption 2: a group of people walking down a street at night
What's the transition?",They continue walking.
a group of people walking down a street at night,a group of people standing on a street,,"Caption 1: a group of people walking down a street at night
Caption 2: a group of people standing on a street
What's the transition?",They are standing on the street.
a group of people walking down a street,a scene from the movie,,"Caption 1: a group of people walking down a street
Caption 2: a scene from the movie
What's the transition?",The scene cuts to a movie.
a scene from the movie,a man standing in a room with a checker,,"Caption 1: a scene from the movie
Caption 2: a man standing in a room with a checker
What's the transition?",A man appears in a room.
a man standing in a room with a checker,a man standing in front of a bar,,"Caption 1: a man standing in a room with a checker
Caption 2: a man standing in front of a bar
What's the transition?",The man stands in front of the bar.
a black background with a white and red flower,a woman is dancing in a room,,"Caption 1: a black background with a white and red flower
Caption 2: a woman is dancing in a room
What's the transition?",The woman continues to dance.
a woman is dancing in a room,a cat is hanging on the wall in a room,,"Caption 1: a woman is dancing in a room
Caption 2: a cat is hanging on the wall in a room
What's the transition?",A cat appears.
a cat is hanging on the wall in a room,a cat is standing on the floor in front of a television,,"Caption 1: a cat is hanging on the wall in a room
Caption 2: a cat is standing on the floor in front of a television
What's the transition?",The cat remains standing.
a man walking down a street in a city,a boy is looking at a cell phone,,"Caption 1: a man walking down a street in a city
Caption 2: a boy is looking at a cell phone
What's the transition?",The boy is looking at a cell phone.
a boy in a white shirt looking at a cell,a man is walking down a street with his hand on the ground,,"Caption 1: a boy in a white shirt looking at a cell
Caption 2: a man is walking down a street with his hand on the ground
What's the transition?",The man walks down the street.
a man is walking down a street with his hand on the ground,a boy is standing on a rock,,"Caption 1: a man is walking down a street with his hand on the ground
Caption 2: a boy is standing on a rock
What's the transition?",The boy stands on a rock.
a boy is standing on a rock,a car is seen in this image from the video,,"Caption 1: a boy is standing on a rock
Caption 2: a car is seen in this image from the video
What's the transition?",A car is shown in the video.
a man sitting on a rock,a man sitting on a rock with a cigarette in his mouth,,"Caption 1: a man sitting on a rock
Caption 2: a man sitting on a rock with a cigarette in his mouth
What's the transition?",The man starts to smoke.
a man sitting on a rock with a cigarette in his mouth,a woman in a blue dress standing in a field,,"Caption 1: a man sitting on a rock with a cigarette in his mouth
Caption 2: a woman in a blue dress standing in a field
What's the transition?",The woman in blue is standing in a field.
a man is walking down the road in the woods,a video screen with a bird in the background,,"Caption 1: a man is walking down the road in the woods
Caption 2: a video screen with a bird in the background
What's the transition?",A bird appears in the background.
a woman is sleeping on a couch in a living room,a man with glasses on,,"Caption 1: a woman is sleeping on a couch in a living room
Caption 2: a man with glasses on
What's the transition?",The woman is wearing glasses.
a man with a beard,a woman is sitting on a couch with her head down,,"Caption 1: a man with a beard
Caption 2: a woman is sitting on a couch with her head down
What's the transition?",The woman sits on the couch.
a woman is sitting on a couch with her head down,a dog is sitting on a couch with a remote control,,"Caption 1: a woman is sitting on a couch with her head down
Caption 2: a dog is sitting on a couch with a remote control
What's the transition?",The woman switches from a couch to a dog.
a dog is sitting on a couch with a remote control,a man is sleeping on a couch in a room,,"Caption 1: a dog is sitting on a couch with a remote control
Caption 2: a man is sleeping on a couch in a room
What's the transition?",The man sleeps instead of the dog.
a swimming pool with people in it,a pool with water sping out of it,,"Caption 1: a swimming pool with people in it
Caption 2: a pool with water sping out of it
What's the transition?",The pool continues to swim.
a pool with water sping out of it,a swimming pool with a ladder and ladder,,"Caption 1: a pool with water sping out of it
Caption 2: a swimming pool with a ladder and ladder
What's the transition?",A ladder and ladder are now on the pool.
